Maze,Mode,Intuition,Time Steps in First Run,Path Length in First Run,Time Steps in Second Run,Path Length in Second Run,Coverage,Score,Computation Time,Maze Size,Number of Grid Visited Per Time Step of First Run,Number of Grid Visited Per Path Length of First Run
1,complete,False,8.43,13.07,0.0,0.0,0.0,0.28,8.44,0.0,0.03,0.03
1,complete,True,10.14,17.01,0.0,0.0,0.0,0.34,3.29,0.0,0.04,0.04
1,incomplete,False,33.31,40.84,1.23,1.28,0.18,1.71,15.69,0.0,0.03,0.04
1,incomplete,True,42.09,54.19,1.09,1.02,0.19,1.22,12.67,0.0,0.04,0.04
2,complete,False,14.14,24.27,0.0,0.0,0.0,0.47,11.01,0.0,0.03,0.04
2,complete,True,15.01,24.53,0.0,0.0,0.0,0.5,10.25,0.0,0.03,0.04
2,incomplete,False,50.33,61.62,1.05,0.45,0.19,1.51,39.09,0.0,0.03,0.03
2,incomplete,True,52.26,67.91,1.79,0.73,0.18,1.84,22.41,0.0,0.03,0.04
3,complete,False,15.91,28.6,0.0,0.0,0.0,0.53,24.57,0.0,0.03,0.04
3,complete,True,18.05,37.74,0.0,0.0,0.0,0.6,10.71,0.0,0.04,0.05
3,incomplete,False,91.9,121.0,1.54,1.34,0.24,2.66,90.17,0.0,0.04,0.05
3,incomplete,True,81.3,101.03,0.97,1.47,0.24,2.1,39.53,0.0,0.03,0.04
