Maze,Mode,Intuition,Heuristics,Time Steps 1,Path Length 1,Time Steps 2,Path Length 2,Time Steps 3,Path Length 3,Coverage,Score,Exploration Time,Computation Time,Maze Size,Number of Grid Visited Per Time Step during Exploration,Number of Grid Visited Per Path Length during Exploration
1,complete,False,False,185.5,220.4,11.6,20.4,17.0,32.0,1.0,23.57,415.4,415.81,144.0,0.78,0.65
1,complete,False,True,189.1,225.7,9.0,15.9,17.0,32.0,1.0,23.6,109.17,109.62,144.0,0.76,0.64
1,complete,True,False,186.8,219.7,7.6,15.1,17.0,32.0,1.0,23.48,79.08,79.43,144.0,0.77,0.66
1,complete,True,True,186.1,216.5,9.6,17.3,17.0,32.0,1.0,23.52,43.44,43.79,144.0,0.77,0.67
1,incomplete,False,False,118.8,136.2,18.3,31.2,18.3,32.4,0.7,22.87,257.91,258.24,144.0,0.88,0.78
1,incomplete,False,True,133.7,150.8,17.8,31.8,17.8,33.2,0.79,22.85,61.72,62.05,144.0,0.86,0.77
1,incomplete,True,False,102.2,114.4,18.4,31.2,18.4,32.2,0.64,22.42,37.99,38.32,144.0,0.91,0.82
1,incomplete,True,True,141.5,161.8,17.3,30.6,17.3,32.4,0.82,22.59,29.95,30.27,144.0,0.84,0.75
2,complete,False,False,256.4,302.4,12.7,22.2,22.0,43.0,1.0,30.97,680.18,680.7,196.0,0.77,0.65
2,complete,False,True,268.1,323.8,13.9,26.0,22.0,43.0,1.0,31.4,161.89,162.37,196.0,0.73,0.61
2,complete,True,False,260.5,310.4,12.4,22.8,22.0,43.0,1.0,31.1,144.09,144.57,196.0,0.75,0.63
2,complete,True,True,257.5,307.8,13.0,22.0,22.0,43.0,1.0,31.02,74.98,75.44,196.0,0.76,0.64
2,incomplete,False,False,180.9,206.4,22.7,43.2,22.7,43.2,0.77,29.49,407.94,408.36,196.0,0.85,0.75
2,incomplete,False,True,165.1,189.4,24.1,45.2,24.1,45.2,0.7,30.41,92.81,93.26,196.0,0.86,0.76
2,incomplete,True,False,165.4,186.4,24.7,43.4,24.7,43.6,0.71,31.04,74.73,75.2,196.0,0.86,0.77
2,incomplete,True,True,176.2,203.4,23.5,43.6,23.5,43.6,0.74,30.16,45.46,45.91,196.0,0.83,0.73
3,complete,False,False,328.1,392.7,15.8,30.9,25.0,49.0,1.0,36.46,1671.3,1671.96,256.0,0.78,0.65
3,complete,False,True,344.5,417.0,12.8,26.0,25.0,49.0,1.0,36.91,241.78,242.34,256.0,0.74,0.62
3,complete,True,False,326.5,392.1,10.7,20.5,25.0,49.0,1.0,36.24,243.42,243.99,256.0,0.79,0.66
3,complete,True,True,344.5,432.4,17.0,33.2,25.0,49.0,1.0,37.05,115.1,115.66,256.0,0.75,0.6
3,incomplete,False,False,179.1,205.6,26.9,51.2,26.9,52.0,0.6,33.77,820.83,821.31,256.0,0.89,0.79
3,incomplete,False,True,207.5,237.8,25.5,49.6,25.5,49.8,0.68,33.27,135.83,136.34,256.0,0.86,0.77
3,incomplete,True,False,162.5,183.8,26.1,50.2,26.1,50.4,0.56,32.39,112.07,112.55,256.0,0.91,0.83
3,incomplete,True,True,247.1,288.5,25.0,49.5,25.0,49.5,0.79,34.07,77.39,77.92,256.0,0.83,0.72
